test_year,n_train,n_test,log_loss,accuracy,brier
2002,748.0,64,1.0139417311302927,0.46875,0.6102383142654881
2006,869.0,64,0.8335647800042159,0.625,0.48824218562715027
2010,990.0,64,1.0306204441454696,0.609375,0.5851252890827674
2014,1111.0,64,0.9809084751528623,0.578125,0.5702009007229387
2018,1284.0,64,0.9552618746941838,0.5625,0.562229992567087
2022,1453.0,64,1.023384630462012,0.53125,0.5978960434365612
mean,1075.8333333333333,384,0.9729469892648392,0.5625,0.5689887876169988
