model,benchmark,folds,total_test_matches,mean_log_loss,mean_accuracy,mean_brier
current,full_coverage,6,384,0.9384756408915157,0.6067708333333334,0.5502953185362508
current,shared_test_full_training,6,225,0.9121286883362242,0.6279962769093205,0.5311414535456801
current,shared_train_and_test,6,225,0.9037529113258115,0.5856946373250721,0.5274840593078136
master48,shared_train_and_test,6,225,0.9924850863637932,0.5366951437603612,0.5877863020395021
