country_code,confederation,status,ranking_2026,ranking_volatility,wc_win_pct,wc_gc_per_game,wc_titles,qual_gf_per_game,qual_gc_per_game,qual_points_per_game,market_value_eur_m,squad_avg_age,copa_win_pct,euro_win_pct,win_pct_vs_top10,wc_debut_flag,host_flag,is_playoff,confederation_strength_index
KVX,UEFA,playoff,150.0,0.0,0.0,1.316,0.0,1.0,0.833,1.8333333333333333,143.38,27.3,0.0,0.0,0.13314358001265023,1,0,1,0.028659160696008185
MAR,CAF,confirmed,8.0,2.3021728866442674,0.217,1.174,0.0,2.75,0.25,3.0,435.55,27.5,0.0,0.0,0.25,0,0,0,0.020161290322580645
MEX,CONCACAF,confirmed,16.0,1.7320508075688772,0.283,1.683,0.0,2.167,0.5,2.0,101.8,26.0,0.0,0.0,0.15217391304347827,0,1,0,0.017777777777777778
MKD,UEFA,playoff,66.0,0.8366600265340756,0.0,1.316,0.0,1.625,1.25,1.625,36.35,28.2,0.0,0.0,0.13314358001265023,1,0,1,0.028659160696008185
NCL,OFC,playoff,150.0,5.224940191045253,0.0,2.333,0.0,2.0,1.4,2.0,16.43,27.9,0.0,0.0,0.1,1,0,1,0.00851063829787234
NED,UEFA,confirmed,7.0,0.5477225575051662,0.545,0.945,0.0,3.375,0.5,2.5,808.0,26.7,0.0,0.4888888888888889,0.3333333333333333,0,0,0,0.028659160696008185
NIR,UEFA,playoff,69.0,5.196152422706632,0.231,1.769,0.0,1.167,1.0,1.5,86.88,25.9,0.0,0.25,0.0,0,0,1,0.028659160696008185
NOR,UEFA,confirmed,32.0,7.120393247567159,0.25,1.0,0.0,4.625,0.625,3.0,502.9,26.1,0.0,0.3333333333333333,0.3333333333333333,0,0,0,0.028659160696008185
NZL,OFC,confirmed,85.0,9.695359714832659,0.0,2.333,0.0,5.8,0.2,3.0,16.43,27.9,0.0,0.0,0.1,0,0,0,0.00851063829787234
PAN,CONCACAF,confirmed,33.0,12.31665539016173,0.0,3.667,0.0,1.5,0.667,2.0,5.3,25.5,0.0,0.0,0.0,0,0,0,0.017777777777777778
PAR,CONMEBOL,confirmed,40.0,6.760177512462228,0.259,1.407,0.0,0.778,0.556,1.5555555555555556,123.95,28.4,0.2,0.0,0.025,0,0,0,0.03954802259887006
POL,UEFA,playoff,34.0,5.128352561983234,0.447,1.316,0.0,1.75,0.875,2.125,164.35,27.9,0.0,0.11764705882352941,0.06451612903225806,0,0,1,0.028659160696008185
POR,UEFA,confirmed,6.0,1.3038404810405297,0.486,1.171,0.0,3.333,1.167,2.1666666666666665,841.0,27.2,0.0,0.4318181818181818,0.13725490196078433,0,0,0,0.028659160696008185
QAT,AFC,confirmed,56.0,4.604345773288536,0.0,2.333,0.0,2.056,1.556,1.8333333333333333,18.0,27.9,0.0,0.0,0.0,0,0,0,0.023746701846965697
ROU,UEFA,playoff,49.0,5.449770637375485,0.381,1.524,0.0,2.375,1.25,1.625,95.08,27.4,0.0,0.1,0.16666666666666666,0,0,1,0.028659160696008185
RSA,CAF,confirmed,60.0,4.207136793592526,0.222,1.778,0.0,1.5,0.9,1.8,46.35,26.4,0.0,0.0,0.0,0,0,0,0.020161290322580645
SCO,UEFA,confirmed,38.0,3.974921382870358,0.174,1.783,0.0,2.167,1.167,2.1666666666666665,214.45,29.1,0.0,0.16666666666666666,0.0,0,0,0,0.028659160696008185
SEN,CAF,confirmed,12.0,3.2093613071762426,0.417,1.417,0.0,2.2,0.3,2.4,405.9,27.5,0.0,0.0,0.125,0,0,0,0.020161290322580645
SUI,UEFA,confirmed,18.0,3.0,0.341,1.78,0.0,2.333,0.333,2.3333333333333335,251.0,27.6,0.0,0.21739130434782608,0.09259259259259259,0,0,0,0.028659160696008185
SUR,CONCACAF,playoff,123.0,9.497368056467012,0.0,2.5,0.0,1.5,1.0,1.5,23.63,28.4,0.0,0.0,0.0,1,0,1,0.017777777777777778
SVK,UEFA,playoff,44.0,4.868264577855235,0.25,1.75,0.0,1.0,1.333,2.0,130.05,28.6,0.0,0.2727272727272727,0.23076923076923078,0,0,1,0.028659160696008185
SWE,UEFA,playoff,42.0,9.5236547606473,0.373,1.431,0.0,0.667,2.0,0.3333333333333333,495.98,27.1,0.0,0.2916666666666667,0.12903225806451613,0,0,1,0.028659160696008185
TUN,CAF,confirmed,47.0,10.4546640309481,0.167,1.444,0.0,2.2,0.0,2.8,68.45,28.9,0.0,0.0,0.375,0,0,0,0.020161290322580645
TUR,UEFA,playoff,25.0,8.408329203831162,0.5,1.7,0.0,2.833,2.0,2.1666666666666665,508.2,27.0,0.0,0.30434782608695654,0.0,0,0,1,0.028659160696008185
UKR,UEFA,playoff,30.0,3.03315017762062,0.4,1.4,0.0,1.667,1.833,1.6666666666666667,274.2,27.3,0.0,0.21428571428571427,0.0,0,0,1,0.028659160696008185
URU,CONMEBOL,confirmed,17.0,2.949576240750525,0.424,1.288,2.0,1.222,0.667,1.5555555555555556,419.23,26.2,0.4,0.0,0.1111111111111111,0,0,0,0.03954802259887006
USA,CONCACAF,confirmed,15.0,1.5811388300841898,0.243,1.784,0.0,2.167,0.5,2.0,169.7,26.1,0.0,0.0,0.0425531914893617,0,1,0,0.017777777777777778
UZB,AFC,confirmed,52.0,11.357816691600547,0.0,1.85,0.0,1.688,0.688,2.1875,8.5,26.2,0.0,0.0,0.08333333333333333,1,0,0,0.023746701846965697
WAL,UEFA,playoff,35.0,2.8809720581775866,0.125,1.25,0.0,2.625,1.375,2.0,184.15,26.5,0.0,0.5,0.15384615384615385,0,0,1,0.028659160696008185
