variant,drop_features,calibrate,mean_log_loss,mean_accuracy,mean_brier,corr_vs_momios,best_inner_log_loss
v2_baseline,,none,0.9786052444753452,0.5546875,0.567130541056943,0.9231780791508674,0.9780092022493493
v2_drop_market,delta_squad_market_value_log,none,0.9774537701767625,0.5598958333333334,0.5654179799753827,0.9106186513429365,0.9762975868262976
v2_calibrated,,isotonic,0.9729469892648392,0.5625,0.5689887876169988,0.9317050011638311,0.9780092022493493
v2_drop_calibrated,delta_squad_market_value_log,isotonic,1.0525431989037448,0.5677083333333334,0.5664046429532963,0.9165811080979782,0.9762975868262976
