test_year,n_train,n_test,log_loss,accuracy,brier
2002,748.0,64,1.0253280878715212,0.40625,0.6167933914691214
2006,869.0,64,0.8526449875729712,0.640625,0.5003707484057309
2010,990.0,64,1.0350376811032502,0.5625,0.5722059302200233
2014,1111.0,64,0.992179590757448,0.640625,0.5591980904536845
2018,1284.0,64,0.958258353054946,0.5625,0.5644395161158778
2022,1453.0,64,1.0012739207004389,0.546875,0.5795002031878578
mean,1075.8333333333333,384,0.9774537701767625,0.5598958333333334,0.5654179799753827
