country_code,confederation,status,ranking_2026,ranking_volatility,wc_win_pct,wc_gc_per_game,qual_gf_per_game,qual_gc_per_game,qual_points_per_game,market_value_eur_m,squad_avg_age,win_pct_vs_top10,host_flag,confederation_strength_index,wc_champion,wc_quarter_pct,wc_semi_pct,wc_final_pct,afcon_win_pct,copa_win_pct,euro_win_pct
NED,UEFA,confirmed,7.0,0.5477225575051662,0.545,0.945,3.375,0.5,2.5,808.0,26.7,0.3333333333333333,0,0.0286591606960081,0,0.455,0.273,0.273,0.0,0.0,0.4888888888888889
NOR,UEFA,confirmed,32.0,7.120393247567159,0.25,1.0,4.625,0.625,3.0,502.9,26.1,0.3333333333333333,0,0.0286591606960081,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
NZL,OFC,confirmed,85.0,9.69535971483266,0.0,2.333,5.8,0.2,3.0,16.43,27.9,0.1,0,0.0085106382978723,0,0.0,0.0,0.0,0.35543478260869565,0.0,0.0
PAN,CONCACAF,confirmed,33.0,12.31665539016173,0.0,3.667,1.5,0.667,2.0,5.3,25.5,0.0,0,0.0177777777777777,0,0.0,0.0,0.0,0.48823900031502676,0.0,0.0
PAR,CONMEBOL,confirmed,40.0,6.760177512462228,0.259,1.407,0.778,0.556,1.5555555555555556,123.95,28.4,0.025,0,0.03954802259887,0,0.125,0.0,0.0,0.0,0.2,0.0
POR,UEFA,confirmed,6.0,1.3038404810405295,0.486,1.171,3.333,1.167,2.1666666666666665,841.0,27.2,0.1372549019607843,0,0.0286591606960081,0,0.375,0.25,0.0,0.0,0.0,0.4318181818181818
QAT,AFC,confirmed,56.0,4.604345773288536,0.0,2.333,2.056,1.556,1.8333333333333333,18.0,27.9,0.0,0,0.0237467018469656,0,0.0,0.0,0.0,0.35763228016749143,0.0,0.0
RSA,CAF,confirmed,60.0,4.207136793592526,0.222,1.778,1.5,0.9,1.8,46.35,26.4,0.0,0,0.0201612903225806,0,0.0,0.0,0.0,0.40540540540540543,0.0,0.0
SCO,UEFA,confirmed,38.0,3.974921382870358,0.174,1.783,2.167,1.167,2.1666666666666665,214.45,29.1,0.0,0,0.0286591606960081,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
SEN,CAF,confirmed,12.0,3.2093613071762426,0.417,1.417,2.2,0.3,2.4,405.9,27.5,0.125,0,0.0201612903225806,0,0.333,0.0,0.0,0.4262295081967213,0.0,0.0
SUI,UEFA,confirmed,18.0,3.0,0.341,1.78,2.333,0.333,2.333333333333333,251.0,27.6,0.0925925925925925,0,0.0286591606960081,0,0.25,0.0,0.0,0.0,0.0,0.21739130434782608
SWE,UEFA,playoff,42.0,9.5236547606473,0.373,1.431,0.667,2.0,0.3333333333333333,495.98,27.1,0.1290322580645161,0,0.0286591606960081,0,0.417,0.25,0.083,0.0,0.0,0.2916666666666667
TUN,CAF,confirmed,47.0,10.4546640309481,0.167,1.444,2.2,0.0,2.8,68.45,28.9,0.375,0,0.0201612903225806,0,0.0,0.0,0.0,0.30985915492957744,0.0,0.0
TUR,UEFA,playoff,25.0,8.408329203831162,0.5,1.7,2.833,2.0,2.1666666666666665,508.2,27.0,0.0,0,0.0286591606960081,0,0.5,0.5,0.0,0.0,0.0,0.30434782608695654
URU,CONMEBOL,confirmed,17.0,2.949576240750525,0.424,1.288,1.222,0.667,1.5555555555555556,419.23,26.2,0.1111111111111111,0,0.03954802259887,1,0.357,0.286,0.071,0.0,0.4,0.0
USA,CONCACAF,confirmed,15.0,1.5811388300841898,0.243,1.784,2.167,0.5,2.0,169.7,26.1,0.0425531914893617,1,0.0177777777777777,0,0.091,0.091,0.0,0.41623975409836067,0.0,0.0
UZB,AFC,confirmed,52.0,11.357816691600547,0.0,1.85,1.688,0.688,2.1875,8.5,26.2,0.0833333333333333,0,0.0237467018469656,0,0.0,0.0,0.0,0.35763228016749143,0.0,0.0
